id;category;title;amenities;bathrooms;bedrooms;currency;fee;pets_allowed;price;price_type;square_feet;address;cityname;state;source
5197748224;housing/rent/apartment;Gorgeous Memphis, One BR, One BA. $375/mo;None;1;1;USD;No;None;375;Monthly;900;null;Memphis;TN;RentDigs.com
5197746484;housing/rent/apartment;Two Spacious BR in Manassas;Cable or Satellite,TV;2;2;USD;No;None;1890;Monthly;1177;null;Manassas;VA;RentDigs.com
5197746432;housing/rent/apartment;Duplex Featuring Two BR and One BA.;None;1;2;USD;No;None;895;Monthly;800;null;Bowling Green;VA;RentDigs.com
5197744630;housing/rent/apartment;Manassas, prime location One BR, Apartment. Pet OK!;Gym,Pool;1;1;USD;No;Cats,Dogs;1360;Monthly;680;null;Manassas;VA;RentDigs.com
5197744254;housing/rent/apartment;Pet Friendly 2+1.50 Apartment in Sonoma;AC,Fireplace,Parking,Patio/Deck;1.5;2;USD;No;None;2250;Monthly;1332;null;Sonoma;CA;RentDigs.com
5197744061;housing/rent/apartment;One BR - Bellagio apartments are located in Northwest Scottsdale.;None;1;1;USD;No;None;1320;Monthly;750;null;Scottsdale;AZ;RentDigs.com
5197742573;housing/rent/apartment;Lovely San Diego, One BR, One BA;Pool,View;1;1;USD;No;None;2749;Monthly;878;null;San Diego;CA;RentDigs.com
5197740589;housing/rent/apartment;Studio - One of the first glamorous residential s in Kansas City.;None;1;2;USD;No;None;892;Monthly;481;null;Kansas City;MO;RentDigs.com
5197740547;housing/rent/apartment;Bright Charlotte, One BR, One BA for rent. Single Car Garage!;Clubhouse,Fireplace,Gym,Parking,Pool,Storage;1;1;USD;No;Cats,Dogs;1388;Monthly;814;null;Charlotte;NC;RentDigs.com
5197740106;housing/rent/apartment;One BR Apartment - One of the first glamorous residential s in Kansas City.;None;1;1;USD;No;None;1034;Monthly;615;null;Kansas City;MO;RentDigs.com
5197739614;housing/rent/apartment;One BR Apartment in Charlotte;Clubhouse,Fireplace,Gym,Parking,Pool,Storage;1;1;USD;No;Cats,Dogs;1363;Monthly;763;null;Charlotte;NC;RentDigs.com
5197739276;housing/rent/apartment;The Best of the Best in the City of Leawood! Save Big. Pet OK!;None;1;1;USD;No;Cats,Dogs;1098;Monthly;1006;null;Leawood;KS;RentDigs.com
5197739118;housing/rent/apartment;Apartment in prime location;Parking;1;2;USD;No;Cats,Dogs;600;Monthly;1670;null;Derby;VT;RentDigs.com
5197738889;housing/rent/apartment;Leawood - superb Apartment nearby fine dining;None;2;2;USD;No;None;1469;Monthly;1034;null;Leawood;KS;RentDigs.com
5197738794;housing/rent/apartment;Apartment in quiet area, spacious with big kitchen. Pet OK!;None;1;1;USD;No;Cats,Dogs;1108;Monthly;904;null;Leawood;KS;RentDigs.com
5197738681;housing/rent/apartment;Studio in San Diego;Parking,Storage;1;2;USD;No;None;2249;Monthly;563;null;San Diego;CA;RentDigs.com
5197738260;housing/rent/apartment;Amazing Two BR, Two BA for rent. Pet OK!;Fireplace;2;2;USD;No;Cats,Dogs;1113;Monthly;1126;null;Memphis;TN;RentDigs.com
5197738247;housing/rent/apartment;San Diego, prime location Studio, Apartment;None;1;2;USD;No;None;2342;Monthly;550;null;San Diego;CA;RentDigs.com
5197738069;housing/rent/apartment;Memphis Luxurious 2 + 2. $841/mo;Gym,Pool;2;2;USD;No;None;990;Monthly;1043;null;Memphis;TN;RentDigs.com
5197737849;housing/rent/apartment;Charming Three BR, Two BA. Single Car Garage!;Parking;2;3;USD;No;None;850;Monthly;1341;null;Memphis;TN;RentDigs.com
5197736168;housing/rent/apartment;Two BR Apartment - Acacia on Santa Rosa Creek features luxurious one.;None;2;2;USD;No;None;2965;Monthly;1042;null;Santa Rosa;CA;RentDigs.com
5197736143;housing/rent/apartment;Gorgeous Scottsdale, One BR, One BA;None;1;1;USD;No;None;1790;Monthly;832;null;Scottsdale;AZ;RentDigs.com
5197735699;housing/rent/apartment;Two BR Apartment - Acacia on Santa Rosa Creek features luxurious one.;None;2;2;USD;No;None;2965;Monthly;1036;null;Santa Rosa;CA;RentDigs.com
5197734249;housing/rent/apartment;Two BR Apartment in Kansas City. $775/mo;Patio/Deck;1;2;USD;No;Cats,Dogs;775;Monthly;774;null;Kansas City;MO;RentDigs.com
5197734207;housing/rent/apartment;Apartment only for $1,240/mo. You Can Stop Looking Now. Pet OK!;None;2;2;USD;No;Cats,Dogs;1240;Monthly;1000;null;Scottsdale;AZ;RentDigs.com
5197734077;housing/rent/apartment;Welcome to Hayden Park. Covered parking!;Fireplace,Gym,Parking,Patio/Deck;1;1;USD;No;None;1054;Monthly;703;null;Scottsdale;AZ;RentDigs.com
5197733915;housing/rent/apartment;One Spacious BR in Scottsdale;None;1;1;USD;No;None;1104;Monthly;716;null;Scottsdale;AZ;RentDigs.com
5197733326;housing/rent/apartment;One BR - Welcome to s Lodge Apartments located in the Top Ten places to live.;None;1;1;USD;No;None;1313;Monthly;820;null;Overland Park;KS;RentDigs.com
5197733170;housing/rent/apartment;Super Cute! Apartment for Rent. Pet OK!;None;1;1;USD;No;Cats,Dogs;999;Monthly;984;null;Memphis;TN;RentDigs.com
5197732673;housing/rent/apartment;One BR - Experience an apartment community far from the ordinary.;Parking,Patio/Deck,Storage;1;1;USD;No;None;1325;Monthly;732;null;Scottsdale;AZ;RentDigs.com
5197732417;housing/rent/apartment;Two BR Apartment - Located in the heart of Charlotte s most exclusive.;None;2;2;USD;No;None;2100;Monthly;1155;null;Charlotte;NC;RentDigs.com
5197731979;housing/rent/apartment;One Spacious BR in Riverdale;Pool,Tennis;1;1;USD;No;None;678;Monthly;754;null;Riverdale;GA;RentDigs.com
5197731779;housing/rent/apartment;Pet Friendly 2+2 Apartment in Memphis. Pet OK!;None;2;2;USD;No;Cats,Dogs;1395;Monthly;1131;null;Memphis;TN;RentDigs.com
5197731451;housing/rent/apartment;Prominence Apartments Two BR Luxury Apartment Homes;Luxury;1;2;USD;No;None;981;Monthly;766;null;Kansas City;MO;RentDigs.com
5197731391;housing/rent/apartment;Utilities Included - Heat - Water and sewer - Plowing - Lawn care Our.;None;2;1;USD;No;None;900;Monthly;950;null;Bennington;VT;RentDigs.com
5197730706;housing/rent/apartment;Two BR - Welcome to The Farms Apartments in Overland Park, KS. Pet OK!;None;2;2;USD;No;Cats,Dogs;1361;Monthly;1154;null;Leawood;KS;RentDigs.com
5197729022;housing/rent/apartment;Apartment \ One BA - must see to believe. Parking Available!;Parking;1;1;USD;No;None;948;Monthly;736;null;Kansas City;MO;RentDigs.com
5197727911;housing/rent/apartment;$2,390/mo - come and see this one. Pet OK!;None;2;2;USD;No;Cats,Dogs;2390;Monthly;1202;null;Scottsdale;AZ;RentDigs.com
5197724739;housing/rent/apartment;Two BR Apartment in Alexandria. Pet OK!;None;2;2;USD;No;Cats,Dogs;2099;Monthly;1148;null;Alexandria;VA;RentDigs.com
5197719680;housing/rent/apartment;$1,495/mo - must see to believe. Single Car Garage!;Parking,Pool;1;1;USD;No;None;1495;Monthly;755;null;Kansas City;MO;RentDigs.com
5197719551;housing/rent/apartment;Santa Rosa, Great Location, One BR Apartment.;Gym,Pool;1;1;USD;No;Cats,Dogs;1904;Monthly;688;null;Santa Rosa;CA;RentDigs.com
